<<<<<<< HEAD
Product,Region,Price,Units Sold,Sale Date
,Region_6,75.96,10.0,2022-01-01
,Region_1,175.78,8.0,2022-01-02
Product_46,Region_3,20.43,12.0,2022-01-03
Product_36,Region_1,12.77,10.0,2022-01-04
Product_17,Region_6,125.69,6.0,2022-01-05
Product_45,Region_1,8.63,11.0,2022-01-06
Product_31,Region_3,23.73,6.0,2022-01-07
Product_18,Region_7,19.27,9.0,2022-01-08
Product_16,Region_9,30.7,14.0,2022-01-09
Product_9,Region_2,264.05,7.0,2022-01-10
Product_20,Region_3,,8.0,2022-01-11
Product_1,Region_4,63.04,9.0,2022-01-12
Product_2,Region_3,,6.0,2022-01-13
Product_1,Region_4,10.15,8.0,2022-01-14
Product_3,Region_2,13.77,17.0,2022-01-15
Product_1,Region_2,46.23,11.0,2022-01-16
Product_43,Region_6,68.53,,2022-01-17
Product_17,Region_4,95.78,15.0,2022-01-18
,,276.27,9.0,2022-01-19
Product_33,Region_5,8.17,9.0,2022-01-20
Product_33,Region_6,92.93,10.0,2022-01-21
,,46.1,14.0,2022-01-22
Product_14,Region_8,119.1,11.0,2022-01-23
Product_50,Region_2,249.3,16.0,2022-01-24
Product_6,Region_2,60.41,5.0,2022-01-25
Product_13,Region_9,52.22,9.0,2022-01-26
Product_11,Region_7,41.78,14.0,2022-01-27
,Region_10,193.85,10.0,2022-01-28
Product_27,Region_8,32.03,10.0,2022-01-29
Product_28,Region_8,217.65,9.0,2022-01-30
Product_45,Region_1,106.77,4.0,2022-01-31
Product_50,Region_4,71.66,7.0,2022-02-01
Product_36,Region_3,120.87,12.0,2022-02-02
Product_43,Region_9,38.19,10.0,2022-02-03
Product_1,Region_9,47.9,11.0,2022-02-04
Product_13,Region_5,145.06,5.0,2022-02-05
Product_2,Region_9,296.03,13.0,2022-02-06
Product_24,Region_8,49.1,5.0,2022-02-07
Product_34,Region_2,70.62,13.0,2022-02-08
Product_25,Region_10,77.82,10.0,2022-02-09
Product_4,Region_8,86.58,11.0,2022-02-10
Product_33,Region_9,129.81,7.0,2022-02-11
Product_33,Region_1,49.31,9.0,2022-02-12
Product_35,,112.27,4.0,2022-02-13
Product_28,Region_6,28.67,8.0,2022-02-14
Product_48,Region_5,82.07,8.0,2022-02-15
Product_46,Region_6,37.44,10.0,2022-02-16
Product_10,Region_2,58.5,16.0,2022-02-17
Product_31,Region_4,43.65,8.0,2022-02-18
Product_13,Region_1,101.83,6.0,2022-02-19
Product_48,Region_4,57.35,13.0,2022-02-20
Product_17,Region_5,,12.0,2022-02-21
Product_49,Region_6,292.09,10.0,2022-02-22
Product_3,Region_6,0.54,14.0,2022-02-23
Product_12,,96.49,16.0,2022-02-24
Product_31,Region_3,5.29,13.0,2022-02-25
Product_33,Region_9,134.35,15.0,2022-02-26
,,30.71,12.0,2022-02-27
Product_48,Region_2,18.86,12.0,2022-02-28
Product_12,Region_8,,7.0,2022-03-01
Product_42,Region_10,26.15,4.0,2022-03-02
,Region_4,118.44,9.0,2022-03-03
Product_5,Region_10,71.01,,2022-03-04
Product_33,,,6.0,2022-03-05
Product_37,,26.68,9.0,2022-03-06
Product_18,Region_3,105.4,13.0,2022-03-07
Product_26,Region_9,275.66,7.0,2022-03-08
Product_18,Region_5,121.97,11.0,2022-03-09
Product_8,Region_10,21.17,9.0,2022-03-10
Product_27,Region_6,44.24,8.0,2022-03-11
Product_11,Region_5,57.18,9.0,2022-03-12
Product_17,Region_10,34.16,14.0,2022-03-13
Product_17,Region_3,22.2,9.0,2022-03-14
Product_37,Region_4,97.84,14.0,2022-03-15
,Region_3,34.59,15.0,2022-03-16
Product_27,Region_9,55.57,5.0,2022-03-17
,Region_2,49.33,7.0,2022-03-18
Product_34,Region_1,,6.0,2022-03-19
Product_22,Region_4,,9.0,2022-03-20
Product_32,Region_4,82.52,6.0,2022-03-21
Product_2,Region_2,2.14,7.0,2022-03-22
Product_23,Region_5,9.93,,2022-03-23
Product_5,Region_8,92.09,9.0,2022-03-24
Product_43,,64.13,13.0,2022-03-25
Product_10,Region_10,12.86,6.0,2022-03-26
,Region_8,6.24,14.0,2022-03-27
Product_5,Region_6,44.88,,2022-03-28
Product_35,Region_5,37.99,13.0,2022-03-29
Product_1,Region_2,85.46,10.0,2022-03-30
Product_20,Region_5,40.9,7.0,2022-03-31
Product_48,Region_6,56.17,15.0,2022-04-01
,Region_5,,14.0,2022-04-02
Product_15,Region_6,,11.0,2022-04-03
Product_29,Region_6,87.63,,2022-04-04
Product_13,Region_3,,8.0,2022-04-05
Product_25,Region_6,43.06,8.0,2022-04-06
Product_33,Region_10,97.09,10.0,2022-04-07
Product_44,Region_7,251.53,5.0,2022-04-08
,Region_4,219.76,8.0,2022-04-09
Product_5,Region_7,19.68,,2022-04-10
Product_6,Region_7,96.1,11.0,2022-04-11
Product_44,Region_10,165.09,9.0,2022-04-12
Product_47,Region_3,221.01,12.0,2022-04-13
Product_41,Region_5,117.56,10.0,2022-04-14
Product_24,Region_2,4.22,15.0,2022-04-15
Product_35,Region_3,6.26,15.0,2022-04-16
Product_41,Region_4,37.45,14.0,2022-04-17
Product_49,Region_2,329.37,8.0,2022-04-18
Product_37,Region_6,6.49,12.0,2022-04-19
Product_20,,43.83,9.0,2022-04-20
Product_2,Region_1,29.39,16.0,2022-04-21
Product_24,Region_6,102.03,10.0,2022-04-22
Product_33,Region_3,82.78,11.0,2022-04-23
Product_13,Region_1,56.04,10.0,2022-04-24
Product_35,Region_1,,13.0,2022-04-25
,Region_9,12.57,7.0,2022-04-26
Product_4,Region_7,20.2,13.0,2022-04-27
Product_3,,201.54,16.0,2022-04-28
Product_3,,3.04,10.0,2022-04-29
Product_35,,401.31,16.0,2022-04-30
Product_47,Region_4,24.24,10.0,2022-05-01
Product_25,Region_7,20.04,7.0,2022-05-02
Product_17,Region_2,69.27,13.0,2022-05-03
Product_47,Region_7,,,2022-05-04
Product_37,Region_5,100.65,3.0,2022-05-05
Product_28,,17.55,16.0,2022-05-06
Product_39,Region_6,7.51,7.0,2022-05-07
Product_40,,184.26,11.0,2022-05-08
